sweep,value,point_index,trial,seed,n,m,k,q,sigma,B,engine,cache_dtype,theorem_hypotheses,theta,xi,attenuation,theorem_lhs,gamma_corrected,gamma_old,full_recovery,coordinate_accuracy,first_error,runtime_seconds
m,400.0,0,0,13576500713772418807,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.965,9,0.09214840002823621
m,400.0,0,1,2560243672382236775,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.875,2,0.09072879992891103
m,400.0,0,2,823659490250893797,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.96,1,0.09209190006367862
m,400.0,0,3,4647591630433496935,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.89,1,0.09238749998621643
m,400.0,0,4,7784856609694958567,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.88,1,0.09412700007669628
m,400.0,0,5,8854691651730449796,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.935,2,0.09413459990173578
m,400.0,0,6,13845251136044705932,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.89,2,0.09083569992799312
m,400.0,0,7,16375485523407557126,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.945,5,0.09541760000865906
m,400.0,0,8,15041427087483994623,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.985,6,0.09156589990016073
m,400.0,0,9,5401325020810896360,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.945,7,0.08982369990553707
m,400.0,0,10,2703215164358214022,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.86,3,0.09010419994592667
m,400.0,0,11,12579813435100660372,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.52,1,0.08954169997014105
m,400.0,0,12,2049952404009565266,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.705,1,0.0912856999784708
m,400.0,0,13,17620143293010091676,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.965,3,0.09009660000447184
m,400.0,0,14,13928366105649475843,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.95,1,0.08932649996131659
m,400.0,0,15,5181189548632332089,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.965,1,0.09283510001841933
m,400.0,0,16,11682227467868005054,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.77,5,0.09326929994858801
m,400.0,0,17,1315545170428886109,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.62,8,0.0904246000573039
m,400.0,0,18,6802235664175497108,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.7,3,0.09104910003952682
m,400.0,0,19,12614433811745501957,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.86,2,0.09161879995372146
m,400.0,0,20,10720344984849590327,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.905,6,0.09176209999714047
m,400.0,0,21,11746373231427955062,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.965,12,0.09263830003328621
m,400.0,0,22,110629299629645129,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.88,1,0.09034930006600916
m,400.0,0,23,12121766772720249974,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.955,1,0.09010250004939735
m,400.0,0,24,8447793545529475897,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.98,12,0.0904424999607727
m,400.0,0,25,17111297654857408110,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.99,8,0.08934549998957664
m,400.0,0,26,1202802850172806499,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.825,6,0.10531629994511604
m,400.0,0,27,10920525478304151069,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.94,4,0.0900792001048103
m,400.0,0,28,16449967288655384447,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.94,2,0.09362460009288043
m,400.0,0,29,10066082576618480757,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.885,2,0.09037570003420115
m,400.0,0,30,3463527523526000467,200,400,8,1021,3.19,8.0,cached,float32,1,0.3326797385620915,225.31855442234064,0.14435090787621438,2.30961452601943,0.36105048054360545,0.3660451725424592,0,0.94,4,0.08892539993394166
